	ID_jogador	Apelido	ClubeID	PosicaoID	Ano	abrev_clube	nome_clube	posicao
0	80583	Lucas Lima	277	4	2014	SAN	Santos	MEI
2	88002	Serginho	277	4	2014	SAN	Santos	MEI
4	70132	Alan Santos	277	4	2014	SAN	Santos	MEI
6	78235	Leandrinho	277	4	2014	SAN	Santos	MEI
8	89637	Thiago Maia	277	4	2014	SAN	Santos	MEI
10	38908	Renato	277	4	2014	SAN	Santos	MEI
12	68909	Souza	277	4	2014	SAN	Santos	MEI
14	37718	Arouca	277	4	2014	SAN	Santos	MEI
16	71055	Pato Rodríguez	277	4	2014	SAN	Santos	MEI
18	73974	Alison	277	4	2014	SAN	Santos	MEI
20	70986	Léo Cittadini	277	4	2014	SAN	Santos	MEI
22	38243	Léo	277	4	2014	SAN	Santos	MEI
24	84896	Lucas Otávio	277	4	2014	SAN	Santos	MEI
26	71668	Anderson Carvalho	277	4	2014	SAN	Santos	MEI
28	78840	Pedro Castro	277	4	2014	SAN	Santos	MEI
30	38908	Renato	277	4	2015	SAN	Santos	MEI
32	37917	Elano	277	4	2015	SAN	Santos	MEI
34	68954	Marquinhos Gabriel	277	4	2015	SAN	Santos	MEI
36	73974	Alison	277	4	2015	SAN	Santos	MEI
38	90566	Rafael Longuine	277	4	2015	SAN	Santos	MEI
40	80583	Lucas Lima	277	4	2015	SAN	Santos	MEI
42	50417	Valencia	277	4	2015	SAN	Santos	MEI
44	78235	Leandrinho	277	4	2015	SAN	Santos	MEI
46	88597	Lucas Crispim	277	4	2015	SAN	Santos	MEI
48	70986	Léo Cittadini	277	4	2015	SAN	Santos	MEI
50	84896	Lucas Otávio 	277	4	2015	SAN	Santos	MEI
52	88002	Serginho	277	4	2015	SAN	Santos	MEI
54	89637	Thiago Maia	277	4	2015	SAN	Santos	MEI
56	72382	Marquinhos	277	4	2015	SAN	Santos	MEI
58	87552	Vitor Bueno	277	4	2015	SAN	Santos	MEI
60	70515	Ledesma	277	4	2015	SAN	Santos	MEI
62	92841	Fernando Medeiros	277	4	2015	SAN	Santos	MEI
64	93376	Wesley Souza	277	4	2015	SAN	Santos	MEI
66	89637	Thiago Maia	277	4	2016	SAN	Santos	MEI
68	90566	Rafael Longuine	277	4	2016	SAN	Santos	MEI
70	90569	Yuri	277	4	2016	SAN	Santos	MEI
72	87552	Vitor Bueno	277	4	2016	SAN	Santos	MEI
74	68745	Vecchio	277	4	2016	SAN	Santos	MEI
76	78548	Jean Mota	277	4	2016	SAN	Santos	MEI
78	37917	Elano	277	4	2016	SAN	Santos	MEI
80	78235	Leandrinho	277	4	2016	SAN	Santos	MEI
82	70986	Léo Cittadini	277	4	2016	SAN	Santos	MEI
84	88597	Lucas Crispim	277	4	2016	SAN	Santos	MEI
86	95466	Igor	277	4	2016	SAN	Santos	MEI
88	95619	Rafael Oller	277	4	2016	SAN	Santos	MEI
90	95620	Bruno Leonardo	277	4	2016	SAN	Santos	MEI
92	95621	Danilo	277	4	2016	SAN	Santos	MEI
94	94045	Diego Gomes	277	4	2016	SAN	Santos	MEI
96	95464	Gregore	277	4	2016	SAN	Santos	MEI
98	73974	Alison	277	4	2016	SAN	Santos	MEI
100	38908	Renato	277	4	2016	SAN	Santos	MEI
102	71055	Pato Rodríguez	277	4	2016	SAN	Santos	MEI
104	50417	Valencia	277	4	2016	SAN	Santos	MEI
106	81148	Ronaldo Mendes	277	4	2016	SAN	Santos	MEI
108	80583	Lucas Lima	277	4	2016	SAN	Santos	MEI
110	92841	Fernando Medeiros	277	4	2016	SAN	Santos	MEI
112	93376	Wesley Souza	277	4	2016	SAN	Santos	MEI
114	96328	Matheus Oliveira	277	4	2016	SAN	Santos	MEI
116	38908	Renato	277	4	2017	SAN	Santos	MEI
118	51318	Leandro Donizete	277	4	2017	SAN	Santos	MEI
120	68745	Vecchio	277	4	2017	SAN	Santos	MEI
122	70986	Léo Cittadini	277	4	2017	SAN	Santos	MEI
124	73974	Alison	277	4	2017	SAN	Santos	MEI
126	78548	Jean Mota	277	4	2017	SAN	Santos	MEI
128	80583	Lucas Lima	277	4	2017	SAN	Santos	MEI
130	87470	Thaciano	277	4	2017	SAN	Santos	MEI
132	87552	Vitor Bueno	277	4	2017	SAN	Santos	MEI
134	88002	Serginho	277	4	2017	SAN	Santos	MEI
136	88597	Lucas Crispim	277	4	2017	SAN	Santos	MEI
138	89637	Thiago Maia	277	4	2017	SAN	Santos	MEI
140	90569	Yuri	277	4	2017	SAN	Santos	MEI
142	94045	Diego Gomes	277	4	2017	SAN	Santos	MEI
144	95335	Matheus Jesus	277	4	2017	SAN	Santos	MEI
146	96328	Matheus Oliveira	277	4	2017	SAN	Santos	MEI
148	97680	Yan	277	4	2017	SAN	Santos	MEI
150	37826	Paulo Baier	288	4	2014	CRI	Criciúma	MEI
151	50425	Roger Gaúcho	288	4	2014	CRI	Criciúma	MEI
152	50454	Serginho	288	4	2014	CRI	Criciúma	MEI
153	38032	Cleber Santana	288	4	2014	CRI	Criciúma	MEI
154	68830	Ricardinho	288	4	2014	CRI	Criciúma	MEI
155	38357	Martinez	288	4	2014	CRI	Criciúma	MEI
156	50908	Wellington Bruno	288	4	2014	CRI	Criciúma	MEI
157	73383	Rafael Costa	288	4	2014	CRI	Criciúma	MEI
158	78936	Rodrigo Souza	288	4	2014	CRI	Criciúma	MEI
159	80399	Higor	288	4	2014	CRI	Criciúma	MEI
160	86931	Ruan	288	4	2014	CRI	Criciúma	MEI
161	89224	Barreto	288	4	2014	CRI	Criciúma	MEI
162	54250	Maylson	288	4	2014	CRI	Criciúma	MEI
163	68987	João Vitor	288	4	2014	CRI	Criciúma	MEI
164	89883	Dodi	288	4	2014	CRI	Criciúma	MEI
165	68689	Anderson Uchoa	288	4	2014	CRI	Criciúma	MEI
166	86144	Luizinho Mello	288	4	2014	CRI	Criciúma	MEI
167	50329	Lulinha	288	4	2014	CRI	Criciúma	MEI
168	68846	Thiago Humberto	288	4	2014	CRI	Criciúma	MEI
169	81148	Ronaldo Mendes	288	4	2014	CRI	Criciúma	MEI
170	68892	Everton	288	4	2014	CRI	Criciúma	MEI
171	83506	Vítor Michels	288	4	2014	CRI	Criciúma	MEI
172	80320	Diego Oliveira	288	4	2014	CRI	Criciúma	MEI
173	89914	Gabriel 	288	4	2014	CRI	Criciúma	MEI
174	79713	Carlos Alberto	293	4	2014	CAP	Atlético-PR	MEI
176	83266	Marcos Guilherme 	293	4	2014	CAP	Atlético-PR	MEI
178	56102	João Paulo	293	4	2014	CAP	Atlético-PR	MEI
180	74078	Hernani	293	4	2014	CAP	Atlético-PR	MEI
182	50292	Paulinho Dias	293	4	2014	CAP	Atlético-PR	MEI
184	82463	Otávio 	293	4	2014	CAP	Atlético-PR	MEI
186	69018	Deivid	293	4	2014	CAP	Atlético-PR	MEI
188	87009	Nathan	293	4	2014	CAP	Atlético-PR	MEI
190	87227	Zé Paulo	293	4	2014	CAP	Atlético-PR	MEI
192	71778	Bady	293	4	2014	CAP	Atlético-PR	MEI
194	82466	Bruno Pelissari	293	4	2014	CAP	Atlético-PR	MEI
196	82468	Willyan Sotto	293	4	2014	CAP	Atlético-PR	MEI
198	70311	Fran Mérida	293	4	2014	CAP	Atlético-PR	MEI
200	84707	Jonatan Lucca	293	4	2014	CAP	Atlético-PR	MEI
202	86765	Bruno Mota	293	4	2014	CAP	Atlético-PR	MEI
204	74077	Maycon Canário	293	4	2014	CAP	Atlético-PR	MEI
206	78176	Harrison	293	4	2014	CAP	Atlético-PR	MEI
208	60791	Derley	293	4	2014	CAP	Atlético-PR	MEI
210	82381	Juninho	293	4	2014	CAP	Atlético-PR	MEI
212	73684	Mirabaje	293	4	2014	CAP	Atlético-PR	MEI
214	79335	Éverton	293	4	2014	CAP	Atlético-PR	MEI
216	84794	Matteus 	293	4	2014	CAP	Atlético-PR	MEI
218	83266	Marcos Guilherme 	293	4	2015	CAP	Atlético-PR	MEI
220	69018	Deivid	293	4	2015	CAP	Atlético-PR	MEI
222	69705	Nikão	293	4	2015	CAP	Atlético-PR	MEI
224	80129	Jadson	293	4	2015	CAP	Atlético-PR	MEI
226	71113	Felipe 	293	4	2015	CAP	Atlético-PR	MEI
228	50292	Paulinho Dias	293	4	2015	CAP	Atlético-PR	MEI
230	71778	Bady	293	4	2015	CAP	Atlético-PR	MEI
232	86765	Bruno Mota	293	4	2015	CAP	Atlético-PR	MEI
234	74078	Hernani	293	4	2015	CAP	Atlético-PR	MEI
236	84381	Rafinha	293	4	2015	CAP	Atlético-PR	MEI
