	Ano	CasaID	ID_partida	PlacarCasa	PlacarVisitante	Resultado	Rodada	VisitanteID	abrev_clube_casa	abrev_clube_fora
0	2014	262	179872	0.0	0.0	Empate	1	290	FLA	GOI
2	2015	262	190387	4.0	1.0	Casa	34	290	FLA	GOI
4	2014	266	180066	2.0	0.0	Casa	13	290	FLU	GOI
6	2015	266	190326	2.0	0.0	Casa	28	290	FLU	GOI
8	2014	276	180145	3.0	0.0	Casa	31	290	SAO	GOI
10	2015	276	190233	0.0	3.0	Visitante	19	290	SAO	GOI
12	2014	277	179998	2.0	0.0	Casa	25	290	SAN	GOI
14	2015	277	190355	3.0	1.0	Casa	31	290	SAN	GOI
16	2014	293	180179	1.0	0.0	Casa	37	290	CAP	GOI
18	2015	293	190261	3.0	0.0	Casa	21	290	CAP	GOI
20	2014	282	179901	0.0	1.0	Visitante	3	290	CAM	GOI
22	2015	282	190409	2.0	2.0	Empate	36	290	CAM	GOI
24	2014	265	180090	1.0	0.0	Casa	14	290	BAH	GOI
25	2014	285	180200	1.0	0.0	Casa	34	290	INT	GOI
27	2015	285	190188	2.0	1.0	Casa	14	290	INT	GOI
29	2014	288	179933	1.0	0.0	Casa	21	290	CRI	GOI
30	2014	315	180178	0.0	0.0	Empate	19	290	CHA	GOI
32	2015	315	190423	1.0	3.0	Visitante	37	290	CHA	GOI
34	2014	263	179974	1.0	0.0	Casa	24	290	BOT	GOI
37	2014	292	180228	0.0	1.0	Visitante	30	290	SPT	GOI
39	2015	292	190101	1.0	0.0	Casa	5	290	SPT	GOI
40	2014	264	180116	5.0	2.0	Casa	16	290	COR	GOI
42	2015	264	190344	3.0	0.0	Casa	30	290	COR	GOI
44	2014	275	179915	2.0	0.0	Casa	4	290	PAL	GOI
46	2015	275	190074	0.0	1.0	Visitante	3	290	PAL	GOI
48	2014	294	180022	3.0	0.0	Casa	9	290	CFC	GOI
50	2015	294	190210	1.0	1.0	Empate	16	290	CFC	GOI
52	2014	283	180240	2.0	1.0	Casa	36	290	CRU	GOI
54	2015	283	190179	1.0	0.0	Casa	13	290	CRU	GOI
56	2014	287	180080	2.0	2.0	Empate	27	290	VIT	GOI
58	2014	284	180042	0.0	0.0	Empate	10	290	GRE	GOI
60	2015	284	190278	2.0	1.0	Casa	23	290	GRE	GOI
62	2014	316	179988	0.0	1.0	Visitante	7	290	FIG	GOI
64	2015	316	190150	3.0	1.0	Casa	10	290	FIG	GOI
66	2015	267	190056	0.0	0.0	Empate	1	290	VAS	GOI
67	2015	314	190300	2.0	1.0	Casa	25	290	AVA	GOI
68	2015	303	190115	0.0	0.0	Empate	7	290	PON	GOI
70	2015	317	190132	2.0	1.0	Casa	8	290	JEC	GOI
71	2014	262	179893	4.0	2.0	Casa	3	275	FLA	PAL
75	2015	262	190427	1.0	2.0	Visitante	38	275	FLA	PAL
79	2016	262	201297	1.0	2.0	Visitante	6	275	FLA	PAL
83	2017	262	211540	2.0	2.0		15	275	FLA	PAL
87	2014	266	179919	3.0	0.0	Casa	21	275	FLU	PAL
91	2015	266	190306	1.0	4.0	Visitante	26	275	FLU	PAL
95	2016	266	201302	0.0	2.0	Visitante	22	275	FLU	PAL
99	2017	266	211429	0.0	1.0		25	275	FLU	PAL
103	2014	276	180190	2.0	0.0	Casa	34	275	SAO	PAL
107	2015	276	190324	1.0	1.0	Empate	28	275	SAO	PAL
111	2016	276	201258	1.0	0.0	Casa	4	275	SAO	PAL
115	2017	276	211292	2.0	0.0		3	275	SAO	PAL
119	2014	277	180035	2.0	0.0	Casa	10	275	SAN	PAL
123	2015	277	190375	2.0	1.0	Casa	33	275	SAN	PAL
127	2016	277	201540	1.0	0.0	Casa	33	275	SAN	PAL
131	2017	277	211381	1.0	0.0		7	275	SAN	PAL
135	2014	293	180169	1.0	1.0	Empate	19	275	CAP	PAL
139	2015	293	190401	3.0	3.0	Empate	35	275	CAP	PAL
143	2016	293	201282	0.0	1.0	Visitante	20	275	CAP	PAL
147	2017	293	211204	3.0	0.0		38	275	CAP	PAL
151	2014	282	180089	2.0	1.0	Casa	14	275	CAM	PAL
155	2015	282	190249	2.0	1.0	Casa	20	275	CAM	PAL
159	2016	282	201571	1.0	1.0	Empate	35	275	CAM	PAL
163	2017	282	211463	1.0	1.0		23	275	CAM	PAL
167	2014	265	180207	0.0	1.0	Visitante	32	275	BAH	PAL
169	2017	265	211396	2.0	4.0		8	275	BAH	PAL
171	2014	285	180186	3.0	1.0	Casa	37	275	INT	PAL
175	2015	285	190288	1.0	0.0	Casa	24	275	INT	PAL
179	2016	285	201613	0.0	1.0	Visitante	15	275	INT	PAL
183	2014	288	179880	1.0	2.0	Visitante	1	275	CRI	PAL
185	2014	315	179994	2.0	0.0	Casa	7	275	CHA	PAL
189	2015	315	190343	5.0	1.0	Casa	29	275	CHA	PAL
193	2016	315	201536	1.0	1.0	Empate	18	275	CHA	PAL
197	2017	315	211278	1.0	0.0		2	275	CHA	PAL
201	2014	263	180065	0.0	1.0	Visitante	27	275	BOT	PAL
205	2016	263	201504	3.0	1.0	Casa	17	275	BOT	PAL
209	2017	263	211549	1.0	2.0		18	275	BOT	PAL
215	2014	292	180115	2.0	1.0	Casa	16	275	SPT	PAL
219	2015	292	190182	2.0	2.0	Empate	13	275	SPT	PAL
223	2016	292	201450	1.0	3.0	Visitante	13	275	SPT	PAL
227	2017	292	211565	0.0	2.0		16	275	SPT	PAL
229	2014	264	180055	2.0	0.0	Casa	12	275	COR	PAL
233	2015	264	190083	0.0	2.0	Visitante	4	275	COR	PAL
237	2016	264	201393	0.0	2.0	Visitante	26	275	COR	PAL
241	2017	264	211282	3.0	2.0		32	275	COR	PAL
245	2014	294	180238	2.0	0.0	Casa	36	275	CFC	PAL
249	2015	294	190230	2.0	1.0	Casa	18	275	CFC	PAL
253	2016	294	201344	2.0	2.0	Empate	8	275	CFC	PAL
257	2017	294	211334	1.0	0.0		5	275	CFC	PAL
261	2014	283	180233	1.0	1.0	Empate	30	275	CRU	PAL
265	2015	283	190217	2.0	1.0	Casa	17	275	CRU	PAL
269	2016	283	201392	2.0	1.0	Casa	11	275	CRU	PAL
273	2017	283	211473	3.0	1.0		12	275	CRU	PAL
277	2014	287	179939	0.0	1.0	Visitante	5	275	VIT	PAL
